States,State,%High school graduates,Rank,Net Donations
MT,Montana,92.80,1,859496.43
MN,Minnesota,92.40,2,3229248.54
NH,New Hampshire,92.30,3,1344993.35
WY,Wyoming,92.30,3,319073.94
AK,Alaska,92.10,5,1487252.54
VT,Vermont,91.80,6,459273.92
ND,North Dakota,91.70,7,372897
ME,Maine,91.60,8,2098774.5
IA,Iowa,91.50,9,2033062.93
UT,Utah,91.20,10,7363564.06
HI,Hawaii,91.00,11,3408001.96
WI,Wisconsin,91.00,11,4455994.87
SD,South Dakota,90.90,13,718015.51
NE,Nebraska,90.70,14,1023300.94
CO,Colorado,90.70,14,4926936.07
DC, Washington DC,90.40,16,10442883.62
KS,Kansas,90.20,17,1950150.64
CT,Connecticut,89.90,18,5742213.47
OR,Oregon,89.80,19,6204760.71
MA,Massachusetts,89.80,19,9135614.74
MI,Michigan,89.60,21,9546507.17
ID,Idaho,89.50,22,2360074.75
MD,Maryland,89.40,23,6370619.2
PA,Pennsylvania,89.20,24,9885960.15
OH,Ohio,89.10,25,5854560.8
NJ,New Jersey,88.60,26,8286650.93
DE,Delaware,88.40,27,994453.87
MO,Missouri,88.40,27,7868307.74
VA,Virginia,88.30,29,6553163.65
IL,Illinois,87.90,30,23938486.4
IN,Indiana,87.80,31,10149630.55
OK,Oklahoma,86.90,32,9551696.97
FL,Florida,86.90,32,19390757.86
RI,Rhode Island,86.20,34,1440450.61
AZ,Arizona,86.00,35,7957539.57
NC,North Carolina,85.80,36,19132495.34
NY,New York,85.60,37,46208931.62
SC,South Carolina,85.60,37,9625456.29
TN,Tennessee,85.50,39,7392958.59
GA,Georgia,85.40,40,12491886
NV,Nevada,85.10,41,5122448.95
WV,West Virginia,85.00,42,1593293.52
AR,Arkansas,84.80,43,4087628.69
AL,Alabama,84.30,44,4222275
NM,New Mexico,84.20,45,1800617.68
KY,Kentucky,84.20,45,3097485.48
LA,Louisiana,83.40,47,1675.76
MI,Mississippi,82.30,48,4221151.57
TX,Texas,81.90,49,27321488.67
CA,California,81.80,50,98022615.94
